IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
38.147.171.110,443,true,HKG,亚太,香港,153 ms,17354 kB/s
149.104.25.189,1443,true,HKG,亚太,香港,158 ms,17284 kB/s
45.144.136.62,443,true,HKG,亚太,香港,162 ms,16836 kB/s
38.55.193.104,31004,true,HKG,亚太,香港,158 ms,16513 kB/s
207.57.123.210,443,true,HKG,亚太,香港,165 ms,16097 kB/s
45.144.136.62,48082,true,HKG,亚太,香港,158 ms,15491 kB/s
68.64.180.198,4432,true,HKG,亚太,香港,156 ms,15317 kB/s
149.104.27.213,443,true,HKG,亚太,香港,155 ms,14894 kB/s
207.57.128.252,23781,true,HKG,亚太,香港,155 ms,14778 kB/s
45.136.13.89,22797,true,HKG,亚太,香港,158 ms,14734 kB/s
68.64.178.102,31549,true,HKG,亚太,香港,154 ms,14308 kB/s
38.207.178.74,30096,true,HKG,亚太,香港,154 ms,13603 kB/s
83.229.123.27,27003,true,HKG,亚太,香港,154 ms,13590 kB/s
149.104.25.82,42807,true,HKG,亚太,香港,158 ms,13252 kB/s
68.64.178.52,443,true,HKG,亚太,香港,160 ms,13020 kB/s
193.134.211.27,443,true,HKG,亚太,香港,156 ms,12381 kB/s
149.104.25.189,2083,true,HKG,亚太,香港,159 ms,12372 kB/s
207.57.122.65,443,true,HKG,亚太,香港,152 ms,12131 kB/s
38.55.198.250,443,true,HKG,亚太,香港,154 ms,11519 kB/s
38.55.193.104,31001,true,HKG,亚太,香港,157 ms,11230 kB/s
207.57.124.35,443,true,HKG,亚太,香港,161 ms,11126 kB/s
83.229.124.163,30443,true,HKG,亚太,香港,158 ms,11041 kB/s
207.57.132.13,50793,true,HKG,亚太,香港,155 ms,10791 kB/s
186.244.250.67,443,true,HKG,亚太,香港,157 ms,10580 kB/s
38.207.178.173,2087,true,HKG,亚太,香港,153 ms,10277 kB/s
68.64.183.37,443,true,HKG,亚太,香港,158 ms,10276 kB/s
193.134.211.209,443,true,HKG,亚太,香港,161 ms,10167 kB/s
207.57.121.20,15002,true,HKG,亚太,香港,153 ms,10110 kB/s
38.55.192.112,45114,true,HKG,亚太,香港,161 ms,9666 kB/s
83.229.126.180,26568,true,HKG,亚太,香港,158 ms,9597 kB/s
149.104.24.57,8443,true,HKG,亚太,香港,159 ms,9500 kB/s
68.64.182.212,15545,true,HKG,亚太,香港,167 ms,9420 kB/s
45.144.137.226,20829,true,HKG,亚太,香港,154 ms,9408 kB/s
207.57.132.61,10001,true,LAX,北美洲,美国洛杉矶,150 ms,9382 kB/s
38.55.192.112,45115,true,HKG,亚太,香港,159 ms,9366 kB/s
68.64.178.74,45321,true,HKG,亚太,香港,158 ms,9363 kB/s
