IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
185.198.26.178,443,true,PDX,北美洲,美国波特兰,1 ms,76450 kB/s
31.220.30.234,52928,true,LAX,北美洲,美国洛杉矶,1 ms,70795 kB/s
185.197.30.6,443,true,LAX,北美洲,美国洛杉矶,9 ms,60570 kB/s
45.45.217.48,443,true,LAX,北美洲,美国洛杉矶,6 ms,57796 kB/s
45.67.218.141,47441,true,LAX,北美洲,美国洛杉矶,1 ms,51877 kB/s
31.220.30.234,30496,true,PDX,北美洲,美国波特兰,1 ms,50299 kB/s
185.198.26.246,443,true,LAX,北美洲,美国洛杉矶,1 ms,46526 kB/s
193.29.62.138,56085,true,ORD,北美洲,芝加哥,52 ms,26933 kB/s
85.155.184.19,58501,true,EWR,北美洲,美国纽瓦克,62 ms,20591 kB/s
167.254.243.90,59186,true,NRT,亚太,日本东京,99 ms,18231 kB/s
167.148.6.161,2087,true,NRT,亚太,日本东京,99 ms,17133 kB/s
151.242.74.169,10443,true,NRT,亚太,日本东京,99 ms,13158 kB/s
103.63.30.19,443,true,FRA,欧洲,德国法兰克福,159 ms,9861 kB/s
103.63.30.215,8433,true,ZRH,欧洲,苏黎世,161 ms,9826 kB/s
31.220.42.244,443,true,AMS,欧洲,荷兰阿姆斯特丹,153 ms,9762 kB/s
45.91.94.23,443,true,VIE,欧洲,奥地利维也纳,173 ms,9538 kB/s
85.155.190.166,14443,true,AMS,欧洲,荷兰阿姆斯特丹,152 ms,8974 kB/s
85.155.190.167,443,true,AMS,欧洲,荷兰阿姆斯特丹,154 ms,8812 kB/s
185.213.24.244,443,true,ARN,欧洲,瑞典斯德哥尔摩,172 ms,8684 kB/s
31.220.44.146,443,true,AMS,欧洲,荷兰阿姆斯特丹,150 ms,8389 kB/s
151.242.85.82,23460,true,KUL,亚太,马来西亚吉隆坡,143 ms,8313 kB/s
167.254.242.31,48101,true,NRT,亚太,日本东京,99 ms,7885 kB/s
104.234.167.176,27043,true,MEL,大洋洲,澳大利亚墨尔本,181 ms,7848 kB/s
167.104.110.148,443,true,VIE,欧洲,奥地利维也纳,176 ms,7816 kB/s
185.175.59.43,4443,true,BTS,欧洲,斯洛伐克布拉提斯拉瓦,165 ms,7743 kB/s
185.175.58.196,443,true,BTS,欧洲,斯洛伐克布拉提斯拉瓦,166 ms,7640 kB/s
216.250.97.101,1623,true,HKG,亚太,香港,143 ms,7633 kB/s
216.250.97.143,8088,true,HKG,亚太,香港,141 ms,7613 kB/s
140.99.243.231,8443,true,NRT,亚太,日本东京,100 ms,7572 kB/s
153.92.126.221,443,true,ARN,欧洲,瑞典斯德哥尔摩,156 ms,7569 kB/s
185.175.58.112,11235,true,VIE,欧洲,奥地利维也纳,175 ms,7393 kB/s
167.104.100.76,443,true,SIN,亚太,新加坡,167 ms,7192 kB/s
45.151.142.117,8444,true,AMS,欧洲,荷兰阿姆斯特丹,169 ms,7122 kB/s
103.63.30.230,443,true,FRA,欧洲,德国法兰克福,160 ms,7015 kB/s
77.90.35.230,45513,true,SYD,大洋洲,澳大利亚悉尼,134 ms,6993 kB/s
103.69.129.71,39738,true,HKG,亚太,香港,142 ms,6977 kB/s
45.91.92.104,2087,true,FRA,欧洲,德国法兰克福,160 ms,6736 kB/s
188.209.141.220,23460,true,KUL,亚太,马来西亚吉隆坡,142 ms,6667 kB/s
153.92.127.28,33955,true,AMS,欧洲,荷兰阿姆斯特丹,156 ms,6647 kB/s
103.214.22.125,56213,true,HKG,亚太,香港,142 ms,6634 kB/s
85.155.191.98,17931,true,AMS,欧洲,荷兰阿姆斯特丹,165 ms,6409 kB/s
188.244.117.27,443,true,FRA,欧洲,德国法兰克福,159 ms,6288 kB/s
103.63.30.120,443,true,ZRH,欧洲,苏黎世,160 ms,6283 kB/s
167.104.104.223,443,true,TXL,欧洲,德国柏林,162 ms,6276 kB/s
85.155.190.254,443,true,AMS,欧洲,荷兰阿姆斯特丹,150 ms,6267 kB/s
85.155.191.223,443,true,AMS,欧洲,荷兰阿姆斯特丹,153 ms,5907 kB/s
45.132.75.78,443,true,HKG,亚太,香港,180 ms,5759 kB/s
167.104.104.65,8443,true,ARN,欧洲,瑞典斯德哥尔摩,161 ms,5719 kB/s
45.91.92.104,443,true,FRA,欧洲,德国法兰克福,160 ms,5599 kB/s
104.234.167.176,27047,true,MEL,大洋洲,澳大利亚墨尔本,181 ms,5575 kB/s
176.126.84.104,8443,true,TXL,欧洲,德国柏林,161 ms,5507 kB/s
167.104.160.115,32364,true,AMS,欧洲,荷兰阿姆斯特丹,152 ms,5496 kB/s
103.173.178.215,39738,true,NRT,亚太,日本东京,100 ms,5042 kB/s
167.104.104.226,443,true,TXL,欧洲,德国柏林,167 ms,4989 kB/s
216.250.97.31,445,true,HKG,亚太,香港,142 ms,4779 kB/s
151.242.85.50,10879,true,HKG,亚太,香港,144 ms,4696 kB/s
103.73.67.112,12505,true,HKG,亚太,香港,142 ms,4263 kB/s
176.126.85.241,443,true,AMS,欧洲,荷兰阿姆斯特丹,159 ms,4095 kB/s
176.126.70.221,10443,true,ARN,欧洲,瑞典斯德哥尔摩,164 ms,4094 kB/s
31.57.224.190,19343,true,HKG,亚太,香港,179 ms,4039 kB/s
194.29.186.253,443,true,HKG,亚太,香港,142 ms,3974 kB/s
167.254.242.31,33682,true,NRT,亚太,日本东京,98 ms,3704 kB/s
167.254.242.31,11852,true,NRT,亚太,日本东京,99 ms,3268 kB/s
85.155.176.130,8443,true,NRT,亚太,日本东京,134 ms,3243 kB/s
151.242.85.171,8443,true,HKG,亚太,香港,142 ms,2972 kB/s
85.155.190.250,443,true,AMS,欧洲,荷兰阿姆斯特丹,151 ms,2907 kB/s
167.104.160.115,443,true,AMS,欧洲,荷兰阿姆斯特丹,152 ms,2729 kB/s
167.254.242.31,22226,true,NRT,亚太,日本东京,99 ms,2629 kB/s
167.254.242.31,45415,true,NRT,亚太,日本东京,100 ms,2625 kB/s
167.254.242.31,36854,true,NRT,亚太,日本东京,101 ms,2616 kB/s
85.155.176.105,8443,true,NRT,亚太,日本东京,134 ms,2587 kB/s
167.254.242.31,12315,true,NRT,亚太,日本东京,108 ms,2571 kB/s
104.234.167.176,42076,true,SIN,亚太,新加坡,179 ms,2537 kB/s
45.151.142.239,443,true,AMS,欧洲,荷兰阿姆斯特丹,148 ms,1783 kB/s
82.118.28.109,45286,true,NRT,亚太,日本东京,105 ms,1604 kB/s
176.126.86.253,25565,true,ARN,欧洲,瑞典斯德哥尔摩,157 ms,993 kB/s
85.155.176.11,8443,true,NRT,亚太,日本东京,130 ms,822 kB/s
85.155.176.71,23032,true,ICN,亚太,韩国首尔,131 ms,649 kB/s
188.93.140.248,443,true,ARN,欧洲,瑞典斯德哥尔摩,156 ms,584 kB/s
103.73.66.233,49954,true,HKG,亚太,香港,294 ms,253 kB/s
85.155.176.71,23007,true,ICN,亚太,韩国首尔,135 ms,253 kB/s
103.214.22.89,3443,true,HKG,亚太,香港,142 ms,197 kB/s
167.104.100.179,443,true,SIN,亚太,新加坡,165 ms,16 kB/s
85.155.176.71,24016,true,ICN,亚太,韩国首尔,132 ms,0 kB/s
