IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
209.146.114.220,17772,true,LAX,北美洲,美国洛杉矶,15 ms,76031 kB/s
209.146.114.46,443,true,LAX,北美洲,美国洛杉矶,8 ms,60310 kB/s
38.95.77.124,58530,true,LAX,北美洲,美国洛杉矶,0 ms,56381 kB/s
186.241.105.236,19611,true,LAX,北美洲,美国洛杉矶,1 ms,55668 kB/s
38.95.77.93,443,true,LAX,北美洲,美国洛杉矶,4 ms,54452 kB/s
209.146.115.31,18443,true,LAX,北美洲,美国洛杉矶,1 ms,50191 kB/s
38.147.160.49,26977,true,SJC,北美洲,美国圣何塞,1 ms,48045 kB/s
186.241.105.72,443,true,LAX,北美洲,美国洛杉矶,3 ms,47902 kB/s
186.241.104.249,443,true,LAX,北美洲,美国洛杉矶,1 ms,47557 kB/s
91.216.190.140,18382,true,SJC,北美洲,美国圣何塞,9 ms,47529 kB/s
186.241.107.89,41127,true,LAX,北美洲,美国洛杉矶,4 ms,47303 kB/s
91.216.190.54,56258,true,LAX,北美洲,美国洛杉矶,21 ms,46949 kB/s
186.241.107.115,8445,true,LAX,北美洲,美国洛杉矶,1 ms,46558 kB/s
186.241.105.225,24793,true,LAX,北美洲,美国洛杉矶,5 ms,46103 kB/s
209.146.113.43,57123,true,LAX,北美洲,美国洛杉矶,3 ms,44393 kB/s
38.147.160.40,12229,true,SJC,北美洲,美国圣何塞,14 ms,40289 kB/s
38.147.160.40,22919,true,LAX,北美洲,美国洛杉矶,0 ms,40281 kB/s
209.146.112.33,28333,true,LAX,北美洲,美国洛杉矶,11 ms,37683 kB/s
38.147.161.213,14938,true,LAX,北美洲,美国洛杉矶,8 ms,37044 kB/s
38.147.160.40,43348,true,SJC,北美洲,美国圣何塞,1 ms,36101 kB/s
38.147.161.162,443,true,SJC,北美洲,美国圣何塞,8 ms,29281 kB/s
186.241.104.108,443,true,LAX,北美洲,美国洛杉矶,4 ms,25738 kB/s
38.95.77.103,447,true,LAX,北美洲,美国洛杉矶,4 ms,25050 kB/s
38.95.77.103,453,true,LAX,北美洲,美国洛杉矶,1 ms,24674 kB/s
38.95.77.12,46009,true,LAX,北美洲,美国洛杉矶,1 ms,22771 kB/s
167.88.177.211,443,true,LAX,北美洲,美国洛杉矶,2 ms,21999 kB/s
209.146.113.128,47692,true,SJC,北美洲,美国圣何塞,1 ms,21372 kB/s
38.95.76.30,443,true,LAX,北美洲,美国洛杉矶,10 ms,20932 kB/s
38.207.174.111,443,true,HKG,亚太,香港,151 ms,15931 kB/s
38.207.161.223,443,true,HKG,亚太,香港,152 ms,13174 kB/s
38.207.172.156,56999,true,SJC,北美洲,美国圣何塞,158 ms,12696 kB/s
38.55.105.12,39443,true,HKG,亚太,香港,150 ms,12460 kB/s
45.221.113.47,40456,true,HKG,亚太,香港,151 ms,12394 kB/s
45.221.113.47,40498,true,HKG,亚太,香港,153 ms,12390 kB/s
38.207.172.166,29832,true,HKG,亚太,香港,150 ms,11996 kB/s
45.221.113.47,40514,true,HKG,亚太,香港,155 ms,11839 kB/s
45.221.113.47,40476,true,HKG,亚太,香港,152 ms,11819 kB/s
45.221.113.47,40468,true,HKG,亚太,香港,153 ms,11756 kB/s
38.147.160.86,21931,true,SJC,北美洲,美国圣何塞,6 ms,11409 kB/s
38.55.104.35,28646,true,HKG,亚太,香港,153 ms,11390 kB/s
38.207.160.40,443,true,HKG,亚太,香港,160 ms,10967 kB/s
45.221.113.47,40500,true,HKG,亚太,香港,154 ms,10920 kB/s
45.221.113.47,40463,true,HKG,亚太,香港,152 ms,10872 kB/s
38.55.104.113,36507,true,HKG,亚太,香港,153 ms,10583 kB/s
91.216.169.10,443,true,LAX,北美洲,美国洛杉矶,5 ms,10539 kB/s
45.221.113.47,40460,true,HKG,亚太,香港,163 ms,10460 kB/s
91.213.186.41,47801,true,HKG,亚太,香港,158 ms,10439 kB/s
38.207.172.108,16301,true,HKG,亚太,香港,151 ms,10202 kB/s
38.55.106.2,38577,true,HKG,亚太,香港,152 ms,10195 kB/s
45.221.113.47,40470,true,HKG,亚太,香港,178 ms,9865 kB/s
45.221.113.47,40518,true,HKG,亚太,香港,158 ms,9852 kB/s
38.55.107.107,443,true,HKG,亚太,香港,157 ms,9819 kB/s
38.207.173.253,32541,true,HKG,亚太,香港,150 ms,9628 kB/s
91.213.186.108,443,true,HKG,亚太,香港,156 ms,9532 kB/s
38.55.106.50,13544,true,HKG,亚太,香港,151 ms,9510 kB/s
38.207.160.205,52090,true,HKG,亚太,香港,152 ms,9501 kB/s
91.213.174.41,8447,true,LAX,北美洲,美国洛杉矶,152 ms,9486 kB/s
91.213.189.39,21228,true,HKG,亚太,香港,158 ms,9297 kB/s
45.221.113.47,40522,true,HKG,亚太,香港,155 ms,9294 kB/s
38.55.104.108,443,true,HKG,亚太,香港,147 ms,9241 kB/s
38.55.104.239,17850,true,HKG,亚太,香港,150 ms,9228 kB/s
38.207.173.143,443,true,HKG,亚太,香港,152 ms,9172 kB/s
45.221.113.47,40510,true,HKG,亚太,香港,151 ms,9088 kB/s
91.213.186.73,18981,true,HKG,亚太,香港,165 ms,9064 kB/s
45.221.113.47,40466,true,HKG,亚太,香港,155 ms,9061 kB/s
45.221.113.47,40507,true,HKG,亚太,香港,152 ms,8940 kB/s
38.207.172.221,8443,true,HKG,亚太,香港,156 ms,8920 kB/s
